sno,sname,sex,height,dorm,bdate
01033495,陈建华,男,1.59,西10舍425,2001-08-14 00:00:00
01036255,屠超,女,1.55,东6舍322,2004-08-04 00:00:00
01032113,宿桂英,男,1.63,西13舍404,2006-01-01 00:00:00
01032749,王畅,男,1.68,南2舍216,2005-07-12 00:00:00
01035767,朱桂兰,女,1.76,南6舍221,2002-12-08 00:00:00
01034588,路婷,女,1.73,西6舍111,2002-01-18 00:00:00
01031024,章兰英,女,1.76,北4舍406,2004-11-29 00:00:00
01031086,杨雪,女,1.92,南1舍407,2005-09-04 00:00:00
01037008,张宇,男,1.69,东7舍228,2005-04-01 00:00:00
01035582,杨华,男,1.57,南9舍405,2004-10-08 00:00:00
01034689,张秀芳,男,1.67,南14舍306,2004-04-05 00:00:00
01038690,梁军,男,1.53,北8舍406,2005-02-18 00:00:00
01035370,曹云,女,1.91,南7舍104,2004-02-01 00:00:00
01037051,郑梅,男,1.67,北15舍201,2000-09-11 00:00:00
01031784,刘洁,女,1.70,东6舍107,2000-07-10 00:00:00
01035756,阎兰英,女,1.97,南9舍124,2000-07-06 00:00:00
01038643,仲瑜,男,1.68,南5舍218,2003-03-12 00:00:00
01035338,张桂香,男,1.88,北4舍406,2006-02-06 00:00:00
01036781,赵欢,女,1.76,南6舍412,2001-10-19 00:00:00
01032973,朱敏,男,1.59,东10舍102,2001-05-13 00:00:00
01031661,王晶,男,1.61,西5舍112,2004-05-04 00:00:00
01034293,汤丹,男,1.76,东13舍114,2001-03-29 00:00:00
01038085,谢慧,女,1.97,南10舍403,2003-12-19 00:00:00
01035403,陈峰,女,1.59,东2舍111,2005-11-11 00:00:00
01033240,谷霞,女,1.52,东10舍306,2005-03-06 00:00:00
01032815,卢秀荣,男,1.72,西6舍214,2002-12-31 00:00:00
01031536,郭丹,男,1.70,南8舍203,2004-05-05 00:00:00
01031063,朱龙,男,1.98,东14舍121,2006-06-07 00:00:00
01031279,李桂芳,女,1.62,北14舍128,2005-01-19 00:00:00
01034474,孙冬梅,女,1.53,东10舍201,2004-11-04 00:00:00
01032597,蔡琳,男,1.94,北11舍324,2004-12-15 00:00:00
01035363,李俊,男,1.66,东12舍205,2002-07-01 00:00:00
01034594,张畅,女,1.55,西1舍122,2001-04-10 00:00:00
01031678,张红霞,男,1.73,南1舍311,2004-10-09 00:00:00
01036802,林磊,男,1.82,南11舍427,2003-12-01 00:00:00
01034982,胡丹丹,女,1.66,北8舍202,2003-12-12 00:00:00
01038184,林帆,女,1.69,北1舍415,2005-01-13 00:00:00
01038202,王伟,女,1.54,南5舍225,2001-02-16 00:00:00
01036258,叶帆,女,1.92,北7舍306,2001-01-14 00:00:00
01037516,鞠帆,男,1.90,北9舍302,2003-09-13 00:00:00
01035270,陈凤兰,男,1.71,北15舍301,2005-03-03 00:00:00
01038864,简阳,男,1.89,东2舍128,2002-08-13 00:00:00
01031038,杨秀梅,女,1.64,东15舍425,2005-03-15 00:00:00
01031753,张旭,男,1.76,西5舍221,2000-12-26 00:00:00
01038624,杨霞,男,1.56,北10舍108,2001-10-21 00:00:00
01034558,黄丹丹,女,1.78,北9舍301,2003-08-12 00:00:00
01034332,黄丽丽,女,1.83,北8舍106,2000-11-29 00:00:00
01035542,何坤,女,1.96,东13舍327,2005-02-23 00:00:00
01037320,刘建平,男,1.54,东2舍428,2002-09-15 00:00:00
01033781,赵军,男,1.69,南14舍221,2003-06-20 00:00:00
01036449,杨桂珍,女,1.79,北4舍418,2004-10-17 00:00:00
01031617,王静,男,1.89,东12舍207,2003-01-07 00:00:00
01037394,杨明,男,1.91,西7舍212,2001-08-14 00:00:00
01031308,魏雪,男,1.79,西8舍212,2004-03-09 00:00:00
01033696,卢丽,男,1.93,南3舍315,2000-06-26 00:00:00
01035298,徐霞,男,1.55,西4舍421,2004-07-16 00:00:00
01037328,王阳,女,1.61,北4舍103,2002-01-15 00:00:00
01034013,杨帆,女,1.63,北11舍401,2003-07-04 00:00:00
01038471,张秀梅,女,1.97,东10舍115,2003-11-24 00:00:00
01034149,王玉华,男,1.56,东14舍424,2001-01-15 00:00:00
01034818,许东,女,1.91,北2舍128,2003-07-23 00:00:00
01033930,赖林,女,1.92,南6舍221,2005-11-01 00:00:00
01035221,吴瑜,女,1.71,北7舍122,2001-05-28 00:00:00
01037434,孙娟,男,1.73,北6舍213,2001-11-01 00:00:00
01035511,邹海燕,女,1.88,西9舍301,2005-02-27 00:00:00
01035637,庞玉英,女,1.82,西1舍126,2001-09-02 00:00:00
01036573,周桂芳,男,1.91,西2舍121,2006-03-20 00:00:00
01036389,阎玲,男,1.87,北15舍115,2001-03-22 00:00:00
01033568,阮桂兰,男,1.56,北3舍116,2004-08-17 00:00:00
01031771,王畅,女,1.73,西13舍303,2005-04-03 00:00:00
01038963,陈桂珍,男,1.89,西1舍402,2003-02-10 00:00:00
01034094,洪桂芝,男,1.52,北1舍324,2001-01-21 00:00:00
01031819,陈梅,男,1.54,南3舍427,2004-05-02 00:00:00
01035553,杨凯,男,1.73,北10舍428,2004-03-06 00:00:00
01037709,洪鑫,女,1.78,东11舍414,2005-10-04 00:00:00
01036373,陈桂英,女,1.60,西7舍113,2005-05-05 00:00:00
01034031,段林,男,1.89,南3舍115,2002-08-16 00:00:00
01031290,张玉,女,1.63,西13舍208,2002-03-17 00:00:00
01037754,陈楠,女,1.89,东2舍207,2003-10-18 00:00:00
01032518,曹斌,女,1.88,东10舍126,2003-01-14 00:00:00
01034585,刘岩,女,1.97,东1舍414,2004-06-12 00:00:00
01035409,周楠,男,1.69,东9舍212,2005-05-20 00:00:00
01037612,李秀英,女,1.91,南3舍317,2003-09-09 00:00:00
01034102,党丽,男,1.56,西11舍317,2006-03-02 00:00:00
01038003,王彬,男,1.91,北13舍305,2005-08-02 00:00:00
01035601,傅平,男,1.71,南9舍212,2001-07-19 00:00:00
01036171,王飞,女,1.67,南6舍428,2006-02-16 00:00:00
01038638,胡璐,女,1.89,西14舍108,2005-10-19 00:00:00
01032979,钟建军,女,1.83,西15舍301,2002-03-08 00:00:00
01038304,赵琴,女,1.75,北1舍205,2002-12-31 00:00:00
01036847,朱秀梅,男,1.90,南11舍103,2006-03-27 00:00:00
01036203,黄琳,女,1.65,南9舍108,2003-02-06 00:00:00
01032634,林想,女,1.73,西2舍426,2003-02-23 00:00:00
01037769,薛玉梅,男,1.53,北2舍208,2006-05-26 00:00:00
01033056,吴颖,女,1.51,南3舍418,2002-06-17 00:00:00
01036448,牛梅,男,1.58,南2舍327,2002-02-24 00:00:00
01032945,谢伟,男,1.88,南5舍222,2005-08-30 00:00:00
01035232,符辉,女,1.59,南7舍224,2001-12-26 00:00:00
01037162,李丹丹,女,1.80,南15舍426,2004-09-04 00:00:00
01036922,霍兵,男,1.62,东6舍211,2003-11-15 00:00:00
01036230,林柳,女,1.89,东5舍405,2005-04-21 00:00:00
01037559,吴婷,女,1.70,南2舍408,2005-05-08 00:00:00
01032021,叶瑜,男,1.83,北10舍214,2004-08-13 00:00:00
01036805,夏勇,男,1.87,西2舍105,2000-09-12 00:00:00
01034244,甘小红,男,1.85,南9舍212,2003-10-27 00:00:00
01038795,李红梅,男,1.59,南4舍322,2001-05-18 00:00:00
01034863,徐洋,男,1.96,西8舍222,2004-12-02 00:00:00
01033665,陈林,女,1.51,南12舍107,2004-07-23 00:00:00
01034559,余红,男,1.75,东13舍417,2004-10-14 00:00:00
01035745,杨玉珍,女,1.52,北9舍321,2005-02-28 00:00:00
01036277,雷桂兰,男,1.96,北11舍103,2003-02-12 00:00:00
01034669,刘亮,女,1.58,西11舍203,2004-01-12 00:00:00
01034610,邢霞,女,1.64,南5舍404,2002-09-04 00:00:00
01038534,王桂兰,女,1.50,西8舍317,2004-10-06 00:00:00
01033231,杨桂花,男,1.93,西6舍411,2005-08-16 00:00:00
01031828,黄颖,男,1.93,西4舍416,2004-05-20 00:00:00
01035453,毛秀英,女,1.66,东15舍312,2000-08-27 00:00:00
01036149,侯波,男,1.53,东15舍201,2000-08-15 00:00:00
01031464,谷涛,女,1.87,东3舍412,2001-03-04 00:00:00
01037431,金倩,男,1.51,南9舍208,2001-11-02 00:00:00
01035604,冯秀珍,男,1.73,南2舍422,2004-08-19 00:00:00
01038564,王颖,男,1.84,东7舍307,2004-02-02 00:00:00
01031981,聂健,男,1.92,西4舍203,2002-03-18 00:00:00
01032722,高桂芝,女,1.78,东2舍211,2005-05-22 00:00:00
01031380,邹俊,女,1.98,西13舍112,2000-08-04 00:00:00
01038900,王利,男,1.73,东2舍307,2005-07-05 00:00:00
01032172,刘玉,女,1.66,北10舍424,2002-06-08 00:00:00
01035070,李桂芝,女,1.80,南12舍308,2003-02-25 00:00:00
01033059,周博,女,1.82,东14舍217,2002-03-28 00:00:00
01035053,陈颖,男,1.78,北9舍303,2004-06-18 00:00:00
01036158,吴雷,女,1.52,西1舍318,2003-01-07 00:00:00
01035735,徐桂香,女,1.55,东1舍208,2003-11-03 00:00:00
01034422,刘玉英,女,1.52,西5舍412,2005-07-18 00:00:00
01034756,谢强,女,1.69,南4舍203,2004-10-13 00:00:00
01035935,蒋瑜,女,1.83,西13舍203,2001-06-11 00:00:00
01037461,王霞,男,1.51,北13舍206,2000-11-20 00:00:00
01036025,王桂珍,男,1.81,东8舍411,2005-09-25 00:00:00
01032963,王秀梅,女,1.65,东15舍225,2002-06-22 00:00:00
01037562,杜鹏,女,1.57,北11舍414,2001-02-24 00:00:00
01033340,潘志强,女,1.89,北10舍112,2005-10-25 00:00:00
01038540,闵涛,女,1.79,西6舍123,2003-08-07 00:00:00
01031745,韦淑珍,女,1.77,南15舍324,2002-03-07 00:00:00
01035209,石婷,男,1.88,北9舍212,2005-10-08 00:00:00
01036869,张红梅,男,1.69,北11舍414,2000-11-12 00:00:00
01032622,黄兵,男,1.59,东4舍305,2006-03-13 00:00:00
01037066,段丽娟,女,1.83,北6舍212,2006-05-26 00:00:00
01036263,孙玉,女,1.74,西7舍104,2003-04-19 00:00:00
01032041,宋玉英,男,1.92,东13舍328,2003-07-08 00:00:00
01035459,黄晨,男,1.72,南13舍107,2004-01-22 00:00:00
01031250,苏丽丽,女,1.89,西15舍413,2002-10-05 00:00:00
01036156,唐瑞,男,1.71,西7舍114,2004-03-11 00:00:00
01034745,赵想,女,1.71,南8舍211,2003-10-23 00:00:00
01031892,丁桂兰,女,1.89,北11舍117,2001-03-31 00:00:00
01033531,陈杨,女,1.99,西3舍203,2001-10-11 00:00:00
01035760,贾凤兰,女,1.80,北6舍327,2004-02-10 00:00:00
01037359,李桂兰,女,1.71,南1舍124,2005-10-21 00:00:00
01034040,张红霞,男,1.98,南14舍418,2006-06-05 00:00:00
01033754,张伟,男,1.83,西15舍201,2006-03-03 00:00:00
01038220,袁玉英,男,1.54,西10舍218,2002-03-29 00:00:00
01035521,温淑兰,男,1.65,南6舍207,2003-04-16 00:00:00
01035726,刘凤英,女,1.55,北14舍216,2004-05-01 00:00:00
01031655,孔刚,女,1.97,东15舍428,2001-07-28 00:00:00
01032330,马玉珍,女,1.85,西15舍428,2003-10-20 00:00:00
01033375,马玉英,女,1.67,西15舍325,2005-10-13 00:00:00
01032281,张辉,男,1.66,东6舍318,2004-03-28 00:00:00
01036628,林桂荣,女,1.65,西7舍216,2006-02-10 00:00:00
01033682,康桂花,女,1.63,北2舍301,2004-04-20 00:00:00
01037695,曹东,女,1.90,北7舍116,2003-05-15 00:00:00
01034927,赵林,女,1.55,南11舍416,2004-05-13 00:00:00
01036820,夏琳,女,1.90,东7舍228,2004-11-12 00:00:00
01038288,张莉,男,1.77,西3舍225,2002-01-06 00:00:00
01033908,祝亮,男,1.82,北10舍221,2000-08-10 00:00:00
01038821,刘雪,男,1.54,南4舍205,2000-11-09 00:00:00
01033934,王倩,男,1.98,西14舍408,2003-06-11 00:00:00
01032045,王建,女,1.77,北15舍327,2001-08-17 00:00:00
01037972,李浩,女,1.94,南6舍115,2002-07-17 00:00:00
01038463,钟丽华,女,1.61,东4舍101,2002-05-08 00:00:00
01036871,崔宇,男,1.64,东10舍324,2001-09-15 00:00:00
01038705,林宁,男,1.92,北15舍205,2002-10-04 00:00:00
01031325,李刚,男,1.68,东2舍327,2005-12-30 00:00:00
01033457,李建华,女,1.62,西9舍218,2002-12-09 00:00:00
01032333,杨俊,男,1.57,北11舍418,2001-01-23 00:00:00
01032126,包晶,男,1.77,东3舍408,2005-11-03 00:00:00
01038164,张冬梅,男,1.87,西2舍201,2001-01-31 00:00:00
01034713,杨艳,女,1.56,东2舍316,2005-09-20 00:00:00
01035427,余桂芝,男,1.51,西11舍207,2005-10-01 00:00:00
01038925,蒙建华,女,1.93,东1舍327,2001-06-24 00:00:00
01033845,黄辉,女,1.74,东14舍308,2002-12-25 00:00:00
01038358,邓婷婷,女,1.84,西15舍408,2006-02-01 00:00:00
01033387,李红梅,女,1.72,北1舍208,2003-08-17 00:00:00
01035627,顾楠,男,1.51,北4舍211,2006-02-02 00:00:00
01033900,赵丽娟,女,1.64,西8舍102,2006-03-10 00:00:00
01038492,张旭,女,1.85,东15舍326,2006-05-28 00:00:00
01031079,陈婷,女,1.89,南14舍228,2001-09-09 00:00:00
01035940,杨明,女,1.60,东11舍215,2002-06-19 00:00:00
01035858,李桂兰,男,1.94,南12舍414,2004-08-08 00:00:00
01035605,高丹,女,1.65,南15舍316,2001-07-05 00:00:00
01031656,许冬梅,男,1.87,西10舍302,2000-11-05 00:00:00
01034221,杨秀荣,女,1.56,北14舍224,2000-11-12 00:00:00
01033507,姜静,女,1.52,南8舍221,2003-01-05 00:00:00
01033881,李飞,男,1.85,东13舍225,2005-07-07 00:00:00
01035692,李华,男,1.98,南1舍126,2003-07-13 00:00:00
01033943,金霞,女,1.57,东8舍121,2001-06-20 00:00:00
01038559,张鹏,女,1.84,南5舍215,2003-07-30 00:00:00
01033541,陈杰,男,1.93,西6舍225,2000-11-21 00:00:00
01033761,应畅,男,1.88,南11舍101,2001-09-19 00:00:00
01037182,刘娜,女,1.74,东7舍307,2003-08-11 00:00:00
01033331,华颖,女,1.92,北15舍408,2003-10-06 00:00:00
01034035,袁娜,男,1.64,南10舍211,2001-11-10 00:00:00
01036843,曾建,女,1.82,东11舍101,2001-12-10 00:00:00
01036989,刘璐,女,1.76,北12舍116,2005-06-24 00:00:00
01035383,阎楠,男,1.53,东9舍216,2003-01-15 00:00:00
01038822,张海燕,男,1.71,南4舍403,2000-08-11 00:00:00
01033866,吴欣,男,1.65,西3舍304,2005-10-25 00:00:00
01038043,张桂兰,男,2.00,北12舍427,2002-06-10 00:00:00
01031737,黄明,男,1.71,西3舍313,2001-12-13 00:00:00
01033225,张慧,女,1.50,西5舍228,2000-10-09 00:00:00
01036085,卢娜,男,1.75,南12舍225,2002-03-19 00:00:00
01035754,朱娜,女,1.67,东8舍411,2001-09-18 00:00:00
01037031,黄刚,女,1.93,北4舍323,2005-05-08 00:00:00
01032519,郝磊,女,1.88,北6舍316,2000-12-10 00:00:00
01031959,王玉,女,1.79,北11舍101,2004-02-07 00:00:00
01031114,夏云,女,1.58,南1舍407,2002-07-20 00:00:00
01033525,关凤兰,男,1.90,南14舍216,2003-09-09 00:00:00
01033915,钱峰,女,1.57,西8舍112,2001-11-30 00:00:00
01036885,戴军,女,1.84,南5舍103,2005-04-12 00:00:00
01037596,陈凯,男,1.99,北15舍324,2001-02-07 00:00:00
01033284,李晨,男,1.65,西13舍208,2003-05-25 00:00:00
01037286,党秀英,女,1.87,北8舍307,2004-09-30 00:00:00
01031927,练建国,女,1.67,西15舍414,2004-11-17 00:00:00
01037213,王凤兰,男,2.00,东15舍203,2005-08-27 00:00:00
01033984,郭琴,男,1.71,东2舍118,2002-03-11 00:00:00
01031314,张亮,女,1.63,西14舍413,2006-06-06 00:00:00
01034542,孙冬梅,女,1.58,西12舍202,2003-04-03 00:00:00
01031145,褚雷,女,1.90,东13舍322,2006-04-10 00:00:00
01038110,秦洋,女,1.76,西1舍113,2002-05-08 00:00:00
01038228,王伟,男,1.54,北11舍326,2002-11-18 00:00:00
01032939,朱丹,女,1.52,南7舍124,2005-04-30 00:00:00
01034702,鞠金凤,男,1.80,西8舍228,2001-07-15 00:00:00
01035429,赵建平,女,1.89,南9舍404,2002-12-22 00:00:00
01034631,萧秀芳,女,1.66,东14舍111,2000-11-06 00:00:00
01034840,马瑜,女,1.50,南10舍124,2004-04-10 00:00:00
01031393,李春梅,女,1.79,北10舍118,2005-06-19 00:00:00
01034434,梁荣,男,1.88,东11舍305,2003-08-17 00:00:00
01035212,王旭,男,1.67,南8舍408,2001-03-28 00:00:00
01038793,唐想,男,1.61,南1舍322,2004-10-19 00:00:00
01035405,杜兰英,男,1.55,东13舍316,2005-07-22 00:00:00
01034186,栗丹丹,女,1.80,北11舍227,2004-11-05 00:00:00
01032163,齐桂芳,男,1.50,南11舍204,2001-11-22 00:00:00
01038079,刘小红,女,1.86,南14舍405,2000-08-30 00:00:00
01033839,曾淑珍,女,1.63,东8舍217,2001-07-02 00:00:00
01036298,林华,女,1.87,北15舍326,2000-06-20 00:00:00
01037133,孙兵,女,1.78,东8舍115,2005-01-08 00:00:00
01036957,杨龙,女,1.86,东3舍404,2005-03-05 00:00:00
01032525,曹波,男,1.58,北12舍411,2002-05-19 00:00:00
01032602,杨凤兰,女,1.86,西14舍326,2005-01-24 00:00:00
01033974,薛波,女,1.55,东7舍322,2002-12-12 00:00:00
01036139,孙红,男,1.96,西12舍124,2003-09-19 00:00:00
01034435,倪建军,女,1.82,南12舍107,2000-09-24 00:00:00
01038731,王玉华,女,1.51,北11舍322,2005-11-21 00:00:00
01035931,柴兵,女,1.56,北8舍104,2003-11-25 00:00:00
01036951,兰平,男,1.51,南8舍323,2006-01-23 00:00:00
01035227,朱波,女,1.71,东13舍312,2002-05-01 00:00:00
01038473,寇玉梅,女,1.95,西1舍208,2002-09-04 00:00:00
01035641,张涛,女,1.54,东6舍407,2005-06-07 00:00:00
01032566,易玉,女,1.77,北10舍216,2005-12-23 00:00:00
01031710,罗佳,女,1.92,北8舍327,2004-08-13 00:00:00
01031100,黄英,男,1.51,西11舍404,2002-09-05 00:00:00
01035719,凌想,男,1.94,北7舍228,2004-12-06 00:00:00
01038428,张兵,男,1.94,东13舍111,2004-09-07 00:00:00
01038404,林冬梅,女,1.95,南13舍311,2005-07-31 00:00:00
01032636,张强,男,1.86,南13舍403,2005-10-18 00:00:00
01038938,明军,女,1.82,东14舍407,2004-10-07 00:00:00
01037978,骆玉珍,女,1.80,东10舍122,2002-02-28 00:00:00
01033929,陈静,男,1.76,东13舍422,2002-04-08 00:00:00
01037246,黄勇,男,1.91,北6舍125,2003-07-09 00:00:00
01037287,鲁海燕,女,1.50,东8舍314,2005-05-09 00:00:00
01033975,陈丽娟,女,1.59,北7舍204,2005-08-24 00:00:00
01037045,李建平,女,1.54,西15舍324,2000-10-05 00:00:00
01033037,侯浩,男,1.87,西14舍324,2003-06-29 00:00:00
01033802,王琳,男,1.63,东6舍322,2003-07-28 00:00:00
01038595,李璐,女,1.60,北15舍214,2003-03-16 00:00:00
01031573,李丽,男,1.60,东1舍222,2004-01-15 00:00:00
01038786,郑桂香,女,1.54,西6舍107,2002-07-29 00:00:00
01038078,陈丽华,男,1.57,南3舍108,2001-07-31 00:00:00
01032323,刘秀云,男,1.85,南6舍116,2002-07-20 00:00:00
01036282,姜玉梅,男,1.61,西9舍325,2000-07-21 00:00:00
01031509,赵桂香,女,1.79,北10舍301,2001-02-10 00:00:00
01031227,姚芳,男,1.94,东11舍414,2004-01-16 00:00:00
01036683,黄旭,女,1.88,东11舍213,2006-06-18 00:00:00
01036167,黄超,男,1.76,北11舍208,2004-05-25 00:00:00
01038487,朱建国,女,1.92,西3舍417,2002-06-10 00:00:00
01031936,何楠,男,1.64,南13舍426,2002-06-28 00:00:00
01033344,王玉兰,男,1.63,东3舍412,2005-04-08 00:00:00
01034686,黄桂花,男,1.94,西1舍313,2004-06-25 00:00:00
01037347,王利,男,1.94,北9舍302,2006-06-03 00:00:00
01037586,蔡霞,女,1.53,西7舍117,2003-12-23 00:00:00
01038921,王娟,女,2.00,北10舍104,2003-04-23 00:00:00
01038531,陈秀荣,女,1.50,西10舍122,2003-04-03 00:00:00
01038529,韦平,男,1.70,南15舍117,2004-08-28 00:00:00
01034108,蒋彬,女,1.93,南1舍212,2006-05-02 00:00:00
01033789,黄斌,男,1.79,南14舍217,2002-12-20 00:00:00
01036062,孙玲,男,1.68,东14舍416,2002-05-06 00:00:00
01034925,李兰英,男,1.92,东11舍111,2001-03-14 00:00:00
01031676,李秀芳,男,1.75,东11舍305,2003-09-12 00:00:00
01038717,王海燕,男,1.91,南1舍322,2001-06-29 00:00:00
01036662,赵雪梅,女,1.51,东4舍204,2005-06-23 00:00:00
01038305,余桂花,女,1.62,南9舍423,2003-02-01 00:00:00
01034752,萧秀云,男,1.86,北4舍115,2002-06-19 00:00:00
01033890,张凤英,女,1.92,北10舍123,2001-09-13 00:00:00
01037024,孙云,男,1.82,北8舍204,2006-01-30 00:00:00
01037152,彭旭,男,1.50,南8舍412,2003-06-08 00:00:00
01034359,高志强,男,1.97,西12舍128,2004-02-20 00:00:00
01038583,叶丽,女,1.64,南10舍115,2005-01-25 00:00:00
01033302,徐燕,男,1.61,东7舍307,2003-08-29 00:00:00
01032006,方欣,女,1.80,北3舍105,2004-07-18 00:00:00
01032928,魏娜,男,1.83,东6舍204,2003-07-16 00:00:00
01035705,顾龙,男,1.63,南2舍228,2004-04-21 00:00:00
01038328,李莉,女,1.88,北3舍314,2004-12-14 00:00:00
01038076,范玉华,男,1.51,南6舍305,2001-11-22 00:00:00
01035316,李凤英,男,1.75,东5舍401,2002-11-20 00:00:00
01033048,胡瑞,男,1.75,东2舍215,2002-08-24 00:00:00
01034146,吴桂荣,女,1.68,北6舍323,2003-05-31 00:00:00
01033752,姚萍,女,1.91,东12舍104,2005-11-30 00:00:00
01035581,周超,男,1.63,北3舍228,2001-08-27 00:00:00
01035948,曾畅,男,1.74,北3舍206,2004-12-06 00:00:00
01034255,杨秀荣,男,1.91,东5舍304,2001-08-08 00:00:00
01037416,郑玉珍,男,1.69,北5舍413,2006-02-18 00:00:00
01035833,纪文,女,1.66,西4舍305,2005-11-18 00:00:00
01036007,卢莹,男,1.73,北8舍222,2003-05-07 00:00:00
01031141,邱淑兰,女,1.94,东6舍306,2005-04-19 00:00:00
01032170,韦桂兰,男,1.66,北2舍115,2004-06-01 00:00:00
01036822,马杨,女,1.64,西5舍202,2004-07-28 00:00:00
01034647,韩阳,男,1.60,东14舍211,2000-10-06 00:00:00
01033161,冶桂英,男,1.98,南7舍104,2004-01-03 00:00:00
01032875,孙婷,男,1.63,北2舍414,2004-11-11 00:00:00
